Unnamed: 0,bundesland,gemeindeschluessel,anzahl_meldebereiche,faelle_covid_aktuell,faelle_covid_aktuell_beatmet,anzahl_standorte,betten_frei,betten_belegt,daten_stand
184,8,8125,2,9,4,2,20.0,39.0,2020-04-29 09:15:00
185,8,8126,1,5,4,1,3.0,8.0,2020-04-29 09:15:00
186,8,8127,2,9,5,2,8.0,20.0,2020-04-29 09:15:00
187,8,8128,3,8,8,3,34.0,34.0,2020-04-29 09:15:00
188,8,8135,1,4,4,1,9.0,16.0,2020-04-29 09:15:00
189,8,8136,3,8,6,3,21.0,29.0,2020-04-29 09:15:00
190,8,8211,2,9,7,1,9.0,16.0,2020-04-29 09:15:00
191,8,8212,4,9,6,4,56.0,122.0,2020-04-29 09:15:00
192,8,8215,3,7,3,3,36.0,20.0,2020-04-29 09:15:00
193,8,8216,2,0,0,2,3.0,12.0,2020-04-29 09:15:00
194,8,8221,6,23,13,6,135.0,249.0,2020-04-29 09:15:00
195,8,8222,5,19,11,3,30.0,115.0,2020-04-29 09:15:00
196,8,8225,3,2,2,3,13.0,9.0,2020-04-29 09:15:00
197,8,8226,4,4,3,4,10.0,34.0,2020-04-29 09:15:00
198,8,8231,2,4,3,2,41.0,52.0,2020-04-29 09:15:00
199,8,8235,2,5,4,2,10.0,12.0,2020-04-29 09:15:00
200,8,8236,2,0,0,2,18.0,12.0,2020-04-29 09:15:00
201,8,8237,1,3,3,1,8.0,10.0,2020-04-29 09:15:00
202,8,8311,3,5,4,3,11.0,25.0,2020-04-29 09:15:00
203,8,8315,4,4,1,4,51.0,70.0,2020-04-29 09:15:00
204,8,8316,3,5,4,3,5.0,30.0,2020-04-29 09:15:00
205,8,8317,6,8,7,6,136.0,48.0,2020-04-29 09:15:00
206,8,8325,2,7,4,2,4.0,9.0,2020-04-29 09:15:00
207,8,8326,3,10,9,1,24.0,52.0,2020-04-29 09:15:00
208,8,8327,1,3,3,1,11.0,9.0,2020-04-29 09:15:00
209,8,8335,6,9,5,5,42.0,58.0,2020-04-29 09:15:00
210,8,8336,1,6,5,1,6.0,19.0,2020-04-29 09:15:00
211,8,8337,2,3,3,2,29.0,15.0,2020-04-29 09:15:00
212,8,8415,1,6,6,1,13.0,29.0,2020-04-29 09:15:00
